key,english,assamese
ui_0301,Password,
ui_0302,Password is required,
ui_0303,Password reset will be available soon.,
ui_0304,Payment failed,
ui_0305,Payment is pending. Pro access will unlock after Google Play confirms it.,
ui_0306,Payment response timed out. Please try again.,
ui_0307,Payment was cancelled,
ui_0308,Pending,
ui_0309,Permissions,
ui_0310,"Permissions are needed to choose photos, save posters, and receive important updates.",
ui_0311,"Permissions are requested only for photo selection, poster saving, status image selection, and optional notifications. You can manage them from device settings. You remain responsible for any content you upload, export, upload as a status, comment/reply to, or share. The app may temporarily cache media files and remove them when they are no longer needed. Status images may be compressed before upload; temporary compressed files may be removed after device or backend processing is complete.",
ui_0312,Permissions request could not be completed. Please try again.,
ui_0313,Personal,
ui_0314,Personal Details,
ui_0315,Personal photo update failed,
ui_0316,Photo,
ui_0317,Photo quick actions,
ui_0318,Photo selected,
ui_0319,Photo tool: add from Gallery or Camera.,
ui_0320,"Photo was added, but background removal did not complete. Using the original photo for now.",
ui_0321,"Photo was saved, but background removal did not complete. Please try again after some time.",
ui_0322,Photos access granted.,
ui_0323,Photos access is off.,
ui_0324,"Photos, Permissions, and Storage",
ui_0325,"Photos, storage and other access",
ui_0326,Photos/Gallery,
ui_0327,"Pick size and background, then start your design.",
ui_0328,"Pick size and background, then start.",
ui_0329,Pixels,
ui_0330,Plan info mode,
ui_0331,Please add an image or text,
ui_0332,Please log in again and retry account deletion.,
ui_0333,Please refresh or try another template.,
ui_0334,Please select an image or write a quote,
ui_0335,Please select State/Union Territory first,
ui_0336,Please try again shortly.,
ui_0337,Please try again.,
ui_0338,"Please wait, current editor job is still running",
ui_0339,PNG,
ui_0340,PNG with Background,
ui_0341,Political Categories and Public Symbols,
ui_0342,Political Parties,
ui_0343,"Political party categories, party names, party symbols/logos, State/Union Territory emblems, and public identifiers may be shown only for category navigation, regional relevance, and poster discovery. They do not imply endorsement, affiliation, sponsorship, or any political claim by Mana Poster Ai. Users creating political or public-interest content are responsible for complying with applicable laws, election rules, platform policies, copyright/trademark rights, and factual accuracy.",
ui_0344,Poster access and export features follow the active subscription plan.,
ui_0345,Poster is not ready yet. Please try again.,
ui_0346,Poster Profile,
ui_0347,Poster saved to gallery.,
ui_0348,Poster workspace,
ui_0349,Posters you download appear here.,
ui_0350,Premium Gift,
ui_0351,Preparing your photo. Please wait.,
ui_0352,Preparing...,
ui_0353,Preview,
ui_0354,Privacy Policy,
ui_0355,Privacy violation or personal information,
ui_0356,Profile & Settings,
ui_0357,Profile details could not be saved,
ui_0358,Profile preview,
ui_0359,Profile saved,
ui_0360,Purchase Membership,
ui_0361,Quick setup,
ui_0362,Quote must be 600 characters or less,
ui_0363,Rate App,
ui_0364,Rate Mana Poster Ai,
ui_0365,Read deletion policy,
ui_0366,Read more,
ui_0367,Ready,
ui_0368,Recent statuses,
ui_0369,Recover Draft,
ui_0370,Redo,
ui_0371,Referral code,
ui_0372,Referral code apply failed. Please try again.,
ui_0373,Referral code could not be applied,
ui_0374,Referral Rewards,
ui_0375,"Refund, Cancellation, and Auto-Renewal",
ui_0376,"Region, Language, and Political Category Choices",
ui_0377,Rejected,
ui_0378,Remove BG,
ui_0379,Remove from my list,
ui_0380,Removing background,
ui_0381,Removing background...,
ui_0382,Removing the selected color region,
ui_0383,Removing...,
ui_0384,Rendering and saving the final output,
ui_0385,Rendering and sharing the final output,
ui_0386,Renew Membership,
ui_0387,Replay voice guide,
ui_0388,Replies,
ui_0389,reply,
ui_0390,Reply failed. Try again.,
ui_0391,Reply sent,
ui_0392,Reply...,
ui_0393,Report,
ui_0394,Report failed. Please try again.,
ui_0395,Report submitted. Thank you.,
ui_0396,Reporting and Abusive Content,
ui_0397,Reset,
ui_0398,Restore,
ui_0399,Restore subscriptions,
ui_0400,"Restore succeeded, but Pro access is not updated yet. Please try again.",
