key,english,assamese,konkani,gujarati,marathi,meitei,mizo,odia,punjabi,nepali,bengali,kashmiri,ladakhi
ui_0001,10-digit number,"=IFERROR(GOOGLETRANSLATE($B2,""en"",""as""),$B2)","=IFERROR(GOOGLETRANSLATE($B2,""en"",""gom""),$B2)","=IFERROR(GOOGLETRANSLATE($B2,""en"",""gu""),$B2)","=IFERROR(GOOGLETRANSLATE($B2,""en"",""mr""),$B2)","=IFERROR(GOOGLETRANSLATE($B2,""en"",""mni-Mtei""),$B2)","=IFERROR(GOOGLETRANSLATE($B2,""en"",""lus""),$B2)","=IFERROR(GOOGLETRANSLATE($B2,""en"",""or""),$B2)","=IFERROR(GOOGLETRANSLATE($B2,""en"",""pa""),$B2)","=IFERROR(GOOGLETRANSLATE($B2,""en"",""ne""),$B2)","=IFERROR(GOOGLETRANSLATE($B2,""en"",""bn""),$B2)","=IFERROR(GOOGLETRANSLATE($B2,""en"",""ks""),$B2)",=$B2
ui_0002,3-day trial plan,"=IFERROR(GOOGLETRANSLATE($B3,""en"",""as""),$B3)","=IFERROR(GOOGLETRANSLATE($B3,""en"",""gom""),$B3)","=IFERROR(GOOGLETRANSLATE($B3,""en"",""gu""),$B3)","=IFERROR(GOOGLETRANSLATE($B3,""en"",""mr""),$B3)","=IFERROR(GOOGLETRANSLATE($B3,""en"",""mni-Mtei""),$B3)","=IFERROR(GOOGLETRANSLATE($B3,""en"",""lus""),$B3)","=IFERROR(GOOGLETRANSLATE($B3,""en"",""or""),$B3)","=IFERROR(GOOGLETRANSLATE($B3,""en"",""pa""),$B3)","=IFERROR(GOOGLETRANSLATE($B3,""en"",""ne""),$B3)","=IFERROR(GOOGLETRANSLATE($B3,""en"",""bn""),$B3)","=IFERROR(GOOGLETRANSLATE($B3,""en"",""ks""),$B3)",=$B3
ui_0003,A few permissions are needed,"=IFERROR(GOOGLETRANSLATE($B4,""en"",""as""),$B4)","=IFERROR(GOOGLETRANSLATE($B4,""en"",""gom""),$B4)","=IFERROR(GOOGLETRANSLATE($B4,""en"",""gu""),$B4)","=IFERROR(GOOGLETRANSLATE($B4,""en"",""mr""),$B4)","=IFERROR(GOOGLETRANSLATE($B4,""en"",""mni-Mtei""),$B4)","=IFERROR(GOOGLETRANSLATE($B4,""en"",""lus""),$B4)","=IFERROR(GOOGLETRANSLATE($B4,""en"",""or""),$B4)","=IFERROR(GOOGLETRANSLATE($B4,""en"",""pa""),$B4)","=IFERROR(GOOGLETRANSLATE($B4,""en"",""ne""),$B4)","=IFERROR(GOOGLETRANSLATE($B4,""en"",""bn""),$B4)","=IFERROR(GOOGLETRANSLATE($B4,""en"",""ks""),$B4)",=$B4
ui_0004,A last autosaved project was found. Do you want to restore it?,"=IFERROR(GOOGLETRANSLATE($B5,""en"",""as""),$B5)","=IFERROR(GOOGLETRANSLATE($B5,""en"",""gom""),$B5)","=IFERROR(GOOGLETRANSLATE($B5,""en"",""gu""),$B5)","=IFERROR(GOOGLETRANSLATE($B5,""en"",""mr""),$B5)","=IFERROR(GOOGLETRANSLATE($B5,""en"",""mni-Mtei""),$B5)","=IFERROR(GOOGLETRANSLATE($B5,""en"",""lus""),$B5)","=IFERROR(GOOGLETRANSLATE($B5,""en"",""or""),$B5)","=IFERROR(GOOGLETRANSLATE($B5,""en"",""pa""),$B5)","=IFERROR(GOOGLETRANSLATE($B5,""en"",""ne""),$B5)","=IFERROR(GOOGLETRANSLATE($B5,""en"",""bn""),$B5)","=IFERROR(GOOGLETRANSLATE($B5,""en"",""ks""),$B5)",=$B5
ui_0005,A new app update is ready,"=IFERROR(GOOGLETRANSLATE($B6,""en"",""as""),$B6)","=IFERROR(GOOGLETRANSLATE($B6,""en"",""gom""),$B6)","=IFERROR(GOOGLETRANSLATE($B6,""en"",""gu""),$B6)","=IFERROR(GOOGLETRANSLATE($B6,""en"",""mr""),$B6)","=IFERROR(GOOGLETRANSLATE($B6,""en"",""mni-Mtei""),$B6)","=IFERROR(GOOGLETRANSLATE($B6,""en"",""lus""),$B6)","=IFERROR(GOOGLETRANSLATE($B6,""en"",""or""),$B6)","=IFERROR(GOOGLETRANSLATE($B6,""en"",""pa""),$B6)","=IFERROR(GOOGLETRANSLATE($B6,""en"",""ne""),$B6)","=IFERROR(GOOGLETRANSLATE($B6,""en"",""bn""),$B6)","=IFERROR(GOOGLETRANSLATE($B6,""en"",""ks""),$B6)",=$B6
ui_0006,A newer version is available on the Play Store. Update now for the latest improvements.,"=IFERROR(GOOGLETRANSLATE($B7,""en"",""as""),$B7)","=IFERROR(GOOGLETRANSLATE($B7,""en"",""gom""),$B7)","=IFERROR(GOOGLETRANSLATE($B7,""en"",""gu""),$B7)","=IFERROR(GOOGLETRANSLATE($B7,""en"",""mr""),$B7)","=IFERROR(GOOGLETRANSLATE($B7,""en"",""mni-Mtei""),$B7)","=IFERROR(GOOGLETRANSLATE($B7,""en"",""lus""),$B7)","=IFERROR(GOOGLETRANSLATE($B7,""en"",""or""),$B7)","=IFERROR(GOOGLETRANSLATE($B7,""en"",""pa""),$B7)","=IFERROR(GOOGLETRANSLATE($B7,""en"",""ne""),$B7)","=IFERROR(GOOGLETRANSLATE($B7,""en"",""bn""),$B7)","=IFERROR(GOOGLETRANSLATE($B7,""en"",""ks""),$B7)",=$B7
ui_0007,A Telugu-first app for creating posters with ease,"=IFERROR(GOOGLETRANSLATE($B8,""en"",""as""),$B8)","=IFERROR(GOOGLETRANSLATE($B8,""en"",""gom""),$B8)","=IFERROR(GOOGLETRANSLATE($B8,""en"",""gu""),$B8)","=IFERROR(GOOGLETRANSLATE($B8,""en"",""mr""),$B8)","=IFERROR(GOOGLETRANSLATE($B8,""en"",""mni-Mtei""),$B8)","=IFERROR(GOOGLETRANSLATE($B8,""en"",""lus""),$B8)","=IFERROR(GOOGLETRANSLATE($B8,""en"",""or""),$B8)","=IFERROR(GOOGLETRANSLATE($B8,""en"",""pa""),$B8)","=IFERROR(GOOGLETRANSLATE($B8,""en"",""ne""),$B8)","=IFERROR(GOOGLETRANSLATE($B8,""en"",""bn""),$B8)","=IFERROR(GOOGLETRANSLATE($B8,""en"",""ks""),$B8)",=$B8
ui_0008,About App,"=IFERROR(GOOGLETRANSLATE($B9,""en"",""as""),$B9)","=IFERROR(GOOGLETRANSLATE($B9,""en"",""gom""),$B9)","=IFERROR(GOOGLETRANSLATE($B9,""en"",""gu""),$B9)","=IFERROR(GOOGLETRANSLATE($B9,""en"",""mr""),$B9)","=IFERROR(GOOGLETRANSLATE($B9,""en"",""mni-Mtei""),$B9)","=IFERROR(GOOGLETRANSLATE($B9,""en"",""lus""),$B9)","=IFERROR(GOOGLETRANSLATE($B9,""en"",""or""),$B9)","=IFERROR(GOOGLETRANSLATE($B9,""en"",""pa""),$B9)","=IFERROR(GOOGLETRANSLATE($B9,""en"",""ne""),$B9)","=IFERROR(GOOGLETRANSLATE($B9,""en"",""bn""),$B9)","=IFERROR(GOOGLETRANSLATE($B9,""en"",""ks""),$B9)",=$B9
ui_0009,Account,"=IFERROR(GOOGLETRANSLATE($B10,""en"",""as""),$B10)","=IFERROR(GOOGLETRANSLATE($B10,""en"",""gom""),$B10)","=IFERROR(GOOGLETRANSLATE($B10,""en"",""gu""),$B10)","=IFERROR(GOOGLETRANSLATE($B10,""en"",""mr""),$B10)","=IFERROR(GOOGLETRANSLATE($B10,""en"",""mni-Mtei""),$B10)","=IFERROR(GOOGLETRANSLATE($B10,""en"",""lus""),$B10)","=IFERROR(GOOGLETRANSLATE($B10,""en"",""or""),$B10)","=IFERROR(GOOGLETRANSLATE($B10,""en"",""pa""),$B10)","=IFERROR(GOOGLETRANSLATE($B10,""en"",""ne""),$B10)","=IFERROR(GOOGLETRANSLATE($B10,""en"",""bn""),$B10)","=IFERROR(GOOGLETRANSLATE($B10,""en"",""ks""),$B10)",=$B10
ui_0010,Account and Content Responsibility,"=IFERROR(GOOGLETRANSLATE($B11,""en"",""as""),$B11)","=IFERROR(GOOGLETRANSLATE($B11,""en"",""gom""),$B11)","=IFERROR(GOOGLETRANSLATE($B11,""en"",""gu""),$B11)","=IFERROR(GOOGLETRANSLATE($B11,""en"",""mr""),$B11)","=IFERROR(GOOGLETRANSLATE($B11,""en"",""mni-Mtei""),$B11)","=IFERROR(GOOGLETRANSLATE($B11,""en"",""lus""),$B11)","=IFERROR(GOOGLETRANSLATE($B11,""en"",""or""),$B11)","=IFERROR(GOOGLETRANSLATE($B11,""en"",""pa""),$B11)","=IFERROR(GOOGLETRANSLATE($B11,""en"",""ne""),$B11)","=IFERROR(GOOGLETRANSLATE($B11,""en"",""bn""),$B11)","=IFERROR(GOOGLETRANSLATE($B11,""en"",""ks""),$B11)",=$B11
